No,Rank,Gender,Flavor,Juiciness,Tenderness,Umami,Palability,Marbling,Color,Texture,Surface Moisture,Total,Name,2,3,1+,1++,new_color,bright_color,grade_encode,grade_img,grade_surface_img,grade_marbling_img,grade_color_img,grade_texture_img,grade_total_img
69438,1++,female,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069438.jpg,0,0,0,1,4,4.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69442,1++,steer,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069442.jpg,0,0,0,1,3,3.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69457,1++,female,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069457.jpg,0,0,0,1,3,3.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69462,1++,steer,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069462.jpg,0,0,0,1,1,1.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69463,1++,female,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069463.jpg,0,0,0,1,3,3.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69464,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069464.jpg,0,0,0,1,2,2.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69469,1++,steer,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,train/cropped_448/QC_cow_segmentation_1++_069469.jpg,0,0,0,1,6,3.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69474,1++,steer,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069474.jpg,0,0,0,1,3,3.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69477,1++,steer,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069477.jpg,0,0,0,1,3,3.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69480,1++,steer,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069480.jpg,0,0,0,1,3,3.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69483,1++,female,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069483.jpg,0,0,0,1,6,6.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69484,1++,steer,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069484.jpg,0,0,0,1,2,2.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69486,1++,steer,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069486.jpg,0,0,0,1,3,3.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69490,1++,steer,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069490.jpg,0,0,0,1,1,1.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69506,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069506.jpg,0,0,0,1,6,2.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69511,1++,steer,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069511.jpg,0,0,0,1,6,6.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69516,1++,female,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069516.jpg,0,0,0,1,0,0.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69533,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069533.jpg,0,0,0,1,1,1.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69535,1++,steer,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,train/cropped_448/QC_cow_segmentation_1++_069535.jpg,0,0,0,1,2,2.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69539,1++,steer,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069539.jpg,0,0,0,1,5,5.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69546,1++,steer,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,train/cropped_448/QC_cow_segmentation_1++_069546.jpg,0,0,0,1,6,6.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
